2026-03-20 01:24:06,121 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 3, 'total_templates': 5, 'family': 'breakout', 'family_variant_count': 27, 'survivors_so_far': 8}
2026-03-20 01:27:19,233 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 4, 'total_templates': 5, 'family': 'vol_squeeze', 'family_variant_count': 8, 'survivors_so_far': 8}
2026-03-20 01:30:32,801 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 5, 'total_templates': 5, 'family': 'mean_reversion', 'family_variant_count': 8, 'survivors_so_far': 8}
2026-03-20 01:30:33,421 | INFO | binance_quant.orchestration.research_loop | Research progress stage=event_dataset_ready details={'event_count': 1714, 'survivor_count': 8}
2026-03-20 01:30:33,474 | INFO | binance_quant.orchestration.research_loop | Research progress stage=model_evaluation_started details={'feature_count': 42, 'event_count': 1714}
2026-03-20 01:30:33,475 | INFO | binance_quant.ml.modeling | Evaluating model=logistic_regression calibration=platt across 2 folds
2026-03-20 01:30:33,491 | INFO | binance_quant.ml.modeling | Skipping fold=0 for model=logistic_regression calibration=platt because no threshold met acceptance constraints
2026-03-20 01:30:33,509 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=logistic_regression calibration=platt threshold=0.500 acceptance=0.160 precision=0.854 expectancy=0.02344 trades=41
2026-03-20 01:30:33,510 | INFO | binance_quant.ml.modeling | Finished model=logistic_regression calibration=platt folds=1 precision=0.854 expectancy=0.02344 trades=41
2026-03-20 01:30:33,511 | INFO | binance_quant.ml.modeling | Evaluating model=logistic_regression calibration=isotonic across 2 folds
2026-03-20 01:30:33,529 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=logistic_regression calibration=isotonic threshold=0.500 acceptance=0.237 precision=0.738 expectancy=0.01806 trades=61
2026-03-20 01:30:33,542 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=logistic_regression calibration=isotonic threshold=0.500 acceptance=0.276 precision=0.704 expectancy=0.01737 trades=71
2026-03-20 01:30:33,542 | INFO | binance_quant.ml.modeling | Finished model=logistic_regression calibration=isotonic folds=2 precision=0.721 expectancy=0.01771 trades=132
2026-03-20 01:30:33,542 | INFO | binance_quant.ml.modeling | Evaluating model=random_forest calibration=platt across 2 folds
2026-03-20 01:30:34,085 | INFO | binance_quant.ml.modeling | Skipping fold=0 for model=random_forest calibration=platt because no threshold met acceptance constraints
2026-03-20 01:30:34,641 | INFO | binance_quant.ml.modeling | Skipping fold=1 for model=random_forest calibration=platt because no threshold met acceptance constraints
2026-03-20 01:30:34,641 | INFO | binance_quant.ml.modeling | Evaluating model=random_forest calibration=isotonic across 2 folds
2026-03-20 01:30:35,174 | INFO | binance_quant.ml.modeling | Skipping fold=0 for model=random_forest calibration=isotonic because no threshold met acceptance constraints
2026-03-20 01:30:35,774 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=random_forest calibration=isotonic threshold=0.450 acceptance=0.428 precision=0.682 expectancy=0.01343 trades=110
2026-03-20 01:30:35,813 | INFO | binance_quant.ml.modeling | Finished model=random_forest calibration=isotonic folds=1 precision=0.682 expectancy=0.01343 trades=110
2026-03-20 01:30:35,813 | INFO | binance_quant.ml.modeling | Evaluating model=xgboost calibration=platt across 2 folds
2026-03-20 01:30:36,017 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=xgboost calibration=platt threshold=0.450 acceptance=0.206 precision=0.755 expectancy=0.01854 trades=53
2026-03-20 01:30:36,224 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=xgboost calibration=platt threshold=0.450 acceptance=0.265 precision=0.691 expectancy=0.01456 trades=68
2026-03-20 01:30:36,224 | INFO | binance_quant.ml.modeling | Finished model=xgboost calibration=platt folds=2 precision=0.723 expectancy=0.01655 trades=121
2026-03-20 01:30:36,224 | INFO | binance_quant.ml.modeling | Evaluating model=xgboost calibration=isotonic across 2 folds
2026-03-20 01:30:36,433 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=xgboost calibration=isotonic threshold=0.450 acceptance=0.311 precision=0.688 expectancy=0.01424 trades=80
2026-03-20 01:30:36,638 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=xgboost calibration=isotonic threshold=0.450 acceptance=0.490 precision=0.635 expectancy=0.01210 trades=126
